angle_deg,length_m,signed_moment_arm_m,signed_actuator_force_N,required_capacity_N,singular
70.0,0.12281364973146637,0.059275597041502724,-674.8139537421004,1012.2209306131506,False
70.5,0.12229605061620077,0.05934878382666001,-673.9817974506099,1010.9726961759147,False
71.0,0.12177782855566295,0.059418357847322356,-673.1926200784859,1009.7889301177288,False
71.5,0.12125901528085073,0.05948427228503742,-672.4466562913898,1008.6699844370846,False
72.0,0.12073964293497766,0.05954647948265444,-671.7441626696299,1007.6162440044448,False
72.5,0.12021974408086344,0.059604930927901596,-671.0854182246128,1006.6281273369192,False
73.0,0.11969935170846875,0.05965957723680893,-670.4707249470868,1005.7060874206302,False
73.5,0.1191784992425749,0.059710368136988795,-669.9004083885591,1004.8506125828386,False
74.0,0.11865722055061012,0.059757252450786905,-669.3748182773631,1004.0622274160447,False
74.5,0.11813554995062368,0.05980017807831837,-668.894329170948,1003.3414937564221,False
75.0,0.11761352221940806,0.059839091980404525,-668.4593411460652,1002.6890117190978,False
75.5,0.11709117260077065,0.059873940161427885,-668.0702805286378,1002.1054207929567,False
76.0,0.11656853681395528,0.0599046676521241,-667.727600665216,1001.5914009978239,False
76.5,0.11604565106221419,0.05993121849233138,-667.4317827380446,1001.1476741070669,False
77.0,0.11552255204153049,0.05995353571371989,-667.1833366259051,1000.7750049388576,False
77.5,0.11499927694949162,0.05997156132252519,-666.9828018130335,1000.4742027195502,False
78.0,0.11447586349431298,0.05998523628231218,-666.8307483485696,1000.2461225228544,False
78.5,0.11395234990401208,0.059994500496797755,-666.727777859156,1000.0916667887341,False
79.0,0.11342877493573209,0.05999929279276294,-666.6745246174762,1000.0117869262143,False
79.5,0.11290517788521398,0.059999550903087416,-666.671656669712,1000.007485004568,False
80.0,0.11238159859641599,0.05999521144994228,-666.7198770250935,1000.0798155376403,False
